FID,lat,lon,Avg_m2pr_1
186,55.6577988,12.6059999,15775.68713
187,55.6584015,12.6082001,16363.63636
188,55.6580009,12.6206999,17351.97772
189,55.657299,12.6227999,17490.38462
190,55.6579018,12.6248999,12161.54808
191,55.6661987,12.3828001,13220.68875
192,55.6654015,12.3848,15385.34884
193,55.6660995,12.3870001,12014.05
194,55.6652985,12.3889999,12240.9612
195,55.6641006,12.4580002,13493.61648
196,55.6627007,12.5080996,16688.62412
197,55.6624985,12.5122995,16837.8956
198,55.6623993,12.5165005,15706.94815
199,55.6617012,12.5185003,16758.61355
200,55.6615982,12.5227003,12402.24514
201,55.6599998,12.6000004,16855.26862
202,55.6599007,12.6041002,15123.45679
203,55.6590996,12.6062002,18001.52273
204,55.6598015,12.6083002,15277.33845
205,55.6590004,12.6104002,14999.85901
206,55.6595993,12.6125002,16477.51355
207,55.6595001,12.6167002,17833.33333
208,55.6587982,12.6187,16855.6701
209,55.6585999,12.6229,19864.74359
210,55.6666985,12.3891001,14122.80702
211,55.6673012,12.3913002,15159.98074
212,55.6665993,12.3933001,13248.67539
213,55.667099,12.3996,14436.61972
214,55.6669006,12.408,14230.76923
215,55.6650009,12.4748001,16096.82447
216,55.6632996,12.5102997,16258.50796
217,55.6637993,12.5165997,13200.35055
218,55.6629982,12.5186005,17201.64538
219,55.6637001,12.5207996,16238.72185
220,55.6631012,12.5416002,17195.32575
221,55.6604004,12.6105003,17836.36233
222,55.6609993,12.6126003,15502.93211
223,55.6603012,12.6147003,17044.60911
224,55.6609001,12.6168003,20366.0797
225,55.660099,12.6188002,15822.21085
226,55.6607018,12.6210003,17115.13864
227,55.6599998,12.6230001,17358.63786
228,55.6605988,12.6252003,17473.41293
229,55.6701012,12.3413,14177.04082
230,55.6687012,12.3914003,12824.22439
231,55.6683006,12.4039001,15372.82609
232,55.6682014,12.4081001,12392.2549
233,55.6674995,12.4101,14321.34618
234,55.6680984,12.4123001,14678.28237
235,55.665699,12.4728003,15220.11718
236,55.6651001,12.5166998,16342.7551
237,55.6650009,12.5208998,16273.59712
238,55.6627998,12.5959997,15441.35493
239,55.6627007,12.6001997,16669.65013
240,55.6619987,12.6022997,12394.93039
241,55.6626015,12.6043997,18989.49561
242,55.6618996,12.6063995,18236.4883
243,55.6624985,12.6085997,18318.34182
244,55.6615982,12.6148005,13541.66667
245,55.661499,12.6190004,18311.40351
246,55.6613998,12.6231003,16092.02683
247,55.6612015,12.6273003,20426.23457
248,55.6713982,12.3414001,14346.3409
249,55.6707001,12.3434,12105.86094
250,55.6687012,12.4144001,14497.44898
251,55.6673012,12.4876003,14896.55036
252,55.6668015,12.5085001,16553.77188
253,55.6659012,12.5146999,21302.26578
254,55.6665001,12.5167999,14661.17118
255,55.6657982,12.5188999,16693.01511
256,55.6664009,12.5209999,16818.33411
257,55.665699,12.5460997,20872.09302
258,55.6649017,12.5481005,17789.85507
259,55.6655998,12.5502005,17998.6447
260,55.6647987,12.5523005,18074.58224
261,55.6654015,12.5544004,19228.20533
262,55.6646996,12.5564003,17101.97374
263,55.6647987,12.5753002,20653.84615
264,55.6646996,12.5795002,15941.55113
265,55.6641998,12.5962,17010.30928
266,55.6635017,12.5981998,15478.35042
267,55.6641006,12.6004,17481.33817
268,55.6632996,12.6023998,17638.06664
269,55.6640015,12.6044998,17818.70937
270,55.6632004,12.6065998,18617.87028
271,55.6637001,12.6128998,15879.02468
272,55.6629982,12.6148996,17161.44485
273,55.6636009,12.6170998,16768.20235
274,55.6727982,12.3415003,14545.76973
275,55.6720009,12.3435001,14677.67187
276,55.6688004,12.4834995,16348.67415
277,55.6680984,12.4856005,17364.40072
278,55.6687012,12.4877005,14292.04477
279,55.6679993,12.4897003,18090.90909
280,55.6685982,12.4919004,16927.89969
281,55.6679001,12.4939003,17456.14035
282,55.668499,12.4961004,18406.7
283,55.6677017,12.4981003,17319.27711
284,55.6680984,12.5086002,18361.91773
285,55.6674004,12.5106001,15641.82144
286,55.6673012,12.5148001,14997.67887
287,55.6679001,12.5169001,15289.62083
288,55.667099,12.5190001,17670.52976
289,55.6664009,12.5439997,19754.3036
290,55.6669998,12.5461998,20058.14174
291,55.6663017,12.5481997,18750.43209
292,55.6669006,12.5503998,19545.73629
293,55.6661987,12.5523996,19621.10439
294,55.6668015,12.5544996,18957.17434
295,55.6660004,12.5565996,20340.78433
296,55.6661987,12.5754004,20207.48558
297,55.6654015,12.5774002,15169.34855
298,55.6650009,12.5941,16900.83331
299,55.6655998,12.5963001,17449.63248
300,55.6647987,12.5983,17962.40595
301,55.6655006,12.6005001,12901.52567
302,55.6646996,12.6025,14728.57272
303,55.6646004,12.6066999,17153.64259
304,55.6651993,12.6087999,17161.64608
305,55.6651001,12.6129999,19260.48951
306,55.664299,12.6149998,17112.31704
307,55.6650009,12.6171999,16133.43948
308,55.6641998,12.6191998,17399.99123
309,55.671299,12.4461002,15046.57287
310,55.6711006,12.4502001,17283.95062
311,55.6707993,12.4628,13777.60989
312,55.6693993,12.4856997,15904.78382
313,55.6693001,12.4898996,15780.43866
314,55.6699982,12.4919996,15972.22222
315,55.6692009,12.4940004,15306.08553
316,55.6697998,12.4961996,19314.51613
317,55.6697006,12.5003996,19205.59734
318,55.6687012,12.5107002,17061.76248
319,55.6680984,12.5316,17925
320,55.6688004,12.5338001,21860.0551
321,55.6683998,12.5462999,19395.75018
322,55.6677017,12.5482998,18318.10952
323,55.6682014,12.5546999,14278.76106
324,55.6674004,12.5797005,17510.27659
325,55.6669006,12.5964003,17250.84082
326,55.6668015,12.6006002,18186.45362
327,55.6660995,12.6026001,18981.71825
328,55.6657982,12.6110001,17816.69531
329,55.6664009,12.6131001,15492.15984
330,55.665699,12.6152,16613.85229
331,55.6663017,12.6173,17316.23899
332,55.6661987,12.6215,15701.75439
333,55.6717987,12.4524002,14729.74
334,55.6721001,12.4629002,13943.66197
335,55.6720009,12.4671001,14448.57578
336,55.671299,12.4691,17047.16981
337,55.6719017,12.4712,17007.27869
338,55.6717987,12.4754,15789.47368
339,55.6716003,12.4837999,14067.79661
340,55.671299,12.4920998,15425.84075
341,55.6711998,12.4962997,17035.39823
342,55.6705017,12.4982996,18764.18316
343,55.6711006,12.5004997,18875.99051
344,55.6701012,12.5108995,19301.07527
345,55.6694984,12.5318003,20065.71581
346,55.6701012,12.5339003,18407.63138
347,55.6693993,12.5359001,19843.73443
348,55.6699982,12.5381002,17732.17613
349,55.669899,12.5423002,18478.48451
350,55.6691017,12.5443001,22377.17073
351,55.6697998,12.5464001,15508.89318
352,55.6689987,12.5485001,18211.81921
353,55.6696014,12.5506001,18608.41748
354,55.6688995,12.5525999,19798.58736
355,55.6688004,12.5567999,14231.40506
356,55.6693993,12.559,14360.19353
357,55.6688004,12.5797997,19262.05404
358,55.6677017,12.5944004,14992.56293
359,55.6683006,12.5965004,18672.65754
360,55.6675987,12.5986004,16411.35674
361,55.6674004,12.6028004,16304.34783
362,55.6671982,12.6111002,16192.19511
363,55.6678009,12.6133003,16488.89961
364,55.667099,12.6153002,15037.52696
365,55.6731987,12.4483004,14472.28399
366,55.6739006,12.4504995,14200.65705
367,55.6730995,12.4525003,15695.91667
368,55.6725998,12.4692001,15075.4955
369,55.6725006,12.4734001,16712.76763
370,55.6722984,12.4816999,14696.07284
371,55.6729012,12.4839001,13795.70082
372,55.6721001,12.4900999,16312.37638
373,55.672699,12.4923,15413.46355
374,55.6725998,12.4963999,16404.79237
375,55.6717987,12.4984999,16188.38091
376,55.6724014,12.5005999,15771.0051
377,55.6721001,12.5130997,14760.30337
378,55.671299,12.5151997,14346.41678
379,55.6715012,12.5340004,19280.30303
380,55.6707001,12.5361004,17732.42046
381,55.6713982,12.5382004,18438.17686
382,55.6706009,12.5402002,20384.61538
383,55.6711998,12.5424004,17856.6626
384,55.6711006,12.5466003,17692.76775
385,55.6710014,12.5507002,20887.14392
386,55.6701012,12.5569,19742.4883
387,55.6745987,12.4484997,15362.5
388,55.6752014,12.4505997,14849.04558
389,55.6750984,12.4547997,13901.34269
390,55.6749001,12.4631004,15535.71429
391,55.6731987,12.4986,16417.86356
392,55.6730995,12.5028,16820.18547
393,55.6721992,12.5319996,19555.97425
394,55.6727982,12.5340996,21265.99436
395,55.6721001,12.5361996,17161.01695
396,55.672699,12.5382996,20026.49485
397,55.6720009,12.5403996,18837.41405
398,55.6725998,12.5424995,18467.76061
399,55.6719017,12.5445004,15846.6976
400,55.6725006,12.5466995,18822.42041
401,55.6716995,12.5487003,17255.40804
402,55.6721992,12.5550003,11538.46154
403,55.6715012,12.5571003,19839.94866
404,55.6713982,12.5612001,16518.33656
405,55.6720009,12.5634003,12515.2943
406,55.671299,12.5654001,16759.10656
407,55.6710014,12.5738001,15711.93866
408,55.6716003,12.5759001,13157.89474
409,55.671299,12.5883999,22761.19403
410,55.6705017,12.5904999,20151.25076
411,55.6711006,12.5925999,17636.71312
412,55.6758003,12.4526997,15978.00433
413,55.675499,12.4883003,16666.66667
414,55.6748009,12.5134001,18790.02462
415,55.6747017,12.5176001,19904.0599
416,55.6735992,12.5320997,21543.94827
417,55.6735001,12.5362997,16780.82192
418,55.674099,12.5383997,18314.61742
419,55.6733017,12.5404997,18292.48644
420,55.6739998,12.5425997,19234.03605
421,55.6731987,12.5446997,20058.13953
422,55.6738014,12.5467997,20514.35156
423,55.6730995,12.5488005,16052.52663
424,55.6736984,12.5509996,17114.09396
425,55.6730003,12.5530005,18088.23529
426,55.6735992,12.5551996,14294.50038
427,55.6735001,12.5593004,17874.62814
428,55.672699,12.5614004,13793.10345
429,55.6724014,12.5739002,15389.36372
430,55.6730003,12.5760002,16144.82689
431,55.6720009,12.5864,21879.62532
432,55.6725998,12.5886002,18811.29535
433,55.6719017,12.5906,20215.19231
434,55.6725006,12.5927,20038.29657
435,55.6717987,12.5948,17855.98803
436,55.6780014,12.4507999,14711.49048
437,55.6772003,12.4528999,15121.27976
438,55.6777992,12.4549999,15553.13444
439,55.6763,12.4863005,15242.16077
440,55.6762009,12.5135002,18810.20701
441,55.6753998,12.5155001,18726.50981
442,55.6761017,12.5177002,18808.47052
443,55.6753006,12.5197001,18377.87756
444,55.6755981,12.5344,19590.64327
445,55.6753998,12.5386,17810.45752
446,55.6747017,12.5405998,16428.13499
447,55.6753006,12.5426998,20226.16801
448,55.6752014,12.5468998,18611.93723
449,55.6744995,12.5489998,16682.69231
450,55.6750984,12.5510998,18178.89493
451,55.6743011,12.5530996,18997.83996
452,55.6744003,12.5761995,15847.45763
453,55.6733017,12.5907001,20499.07663
454,55.6739006,12.5929003,20171.34032
455,55.6730995,12.5949001,22651.51515
456,55.6792984,12.4510002,13858.06726
457,55.6775017,12.4905996,4054.054054
458,55.6778984,12.5010996,18183.43937
459,55.6771011,12.5303001,19954.09679
460,55.6763,12.5324001,19636.80074
461,55.676899,12.5345001,19312.4469
462,55.6762009,12.5365,18497.45271
463,55.6767998,12.5387001,17426.86936
464,55.6761017,12.5407,17765.01185
465,55.6767006,12.5429001,14857.14286
466,55.6759987,12.5448999,17525.79979
467,55.6766014,12.5469999,18721.59183
468,55.6758003,12.5490999,19069.39083
469,55.6764984,12.5511999,17548.94232
470,55.6762009,12.5595999,14325.49505
471,55.6758003,12.5720997,21442.68775
472,55.6745987,12.5908003,16101.15378
473,55.6752014,12.5930004,20600.77519
474,55.6750984,12.5972004,19140.2996
475,55.6800995,12.4489002,14343.46667
476,55.6806984,12.4511003,14470.17005
477,55.6799011,12.4531002,14410.02563
478,55.6789017,12.4906998,13573.76857
479,55.6795006,12.4928999,19186.23436
480,55.6786003,12.4990997,16603.05344
481,55.6792984,12.5011997,16688.17204
482,55.6791,12.5053997,15679.62003
483,55.678299,12.5115995,19647.05882
484,55.6785011,12.5263004,18346.77419
485,55.6777,12.5325003,15904.67437
486,55.678299,12.5346003,17124.31658
487,55.6776009,12.5367002,15619.0183
488,55.6781998,12.5388002,20165.46604
489,55.6773987,12.5408001,18186.08341
490,55.6772995,12.5450001,20833.33333
491,55.6778984,12.5472002,16144.44444
492,55.6777992,12.5513,19144.22478
493,55.6771011,12.5534,17824.07407
494,55.6777,12.5555,19346.31086
495,55.6776009,12.5597,17294.11765
496,55.6772003,12.5721998,19646.75202
497,55.6771011,12.5763998,20492.04163
498,55.6767006,12.5888996,21025.09653
499,55.6757011,12.5993004,20167.47918
500,55.6810989,12.4846001,16169.00622
501,55.6804008,12.4867001,16680.2678
502,55.6809998,12.4888,16532.12862
503,55.6801987,12.4907999,17636.36364
504,55.6809006,12.493,19166.66667
505,55.6800995,12.4949999,18807.78554
506,55.6805,12.5054998,18444.63198
507,55.6797981,12.5074997,16913.00006
508,55.6803017,12.5138998,17587.4399
509,55.6800995,12.5180998,18836.25094
510,55.6792984,12.5242996,17274.42066
511,55.6791992,12.5284004,19800.87189
512,55.6797981,12.5305996,19042.12712
513,55.6796989,12.5347996,14428.10932
514,55.6795006,12.5389004,19165.91977
515,55.6792984,12.5473003,17070.22586
516,55.6786003,12.5493002,17363.28787
517,55.6791992,12.5515003,16372.65669
518,55.6783981,12.5535002,19270.12228
519,55.6791,12.5557003,20882.35294
520,55.6789017,12.5598001,17293.67437
521,55.6781006,12.566,12117.34694
522,55.6786995,12.5682001,21862.46622
523,55.6778984,12.5702,16326.34033
524,55.6777992,12.5743999,21995.38795
525,55.6783981,12.5764999,22237.1134
526,55.678299,12.5806999,21239.16667
527,55.6776009,12.5826998,22738.75489
528,55.6775017,12.5868998,19751.77305
529,55.6781006,12.5890999,13362.06897
530,55.6819992,12.4784002,20494.50549
531,55.6825981,12.4806004,17239.1743
532,55.6824989,12.4847002,16100.83691
533,55.6817017,12.4868002,16564.27586
534,55.6823006,12.4889002,17064.24032
535,55.6815987,12.4910002,16217.7847
536,55.6814995,12.4951,17430.55556
537,55.6819992,12.5015001,17661.29032
538,55.6810989,12.5077,17501.06659
539,55.6817017,12.5098,18942.55786
540,55.6808014,12.5201998,17683.17184
541,55.6814003,12.5223999,17687.32208
542,55.6805992,12.5243998,19343.97892
543,55.6805,12.5285997,20265.625
544,55.6809998,12.5348997,16045.38004
545,55.6800003,12.5452995,18669.7525
546,55.6806984,12.5474005,23188.4058
547,55.6799011,12.5494003,19179.76647
548,55.6805,12.5516005,18190.20679
549,55.6797981,12.5536003,13248.6754
550,55.6803017,12.5600004,15291.00405
551,55.6794014,12.5662003,13261.5
552,55.6800995,12.5683002,22701.14943
553,55.6792984,12.5703001,15935.82888
554,55.6799011,12.5725002,8103.025862
555,55.6791992,12.5745001,19439.69268
556,55.6797981,12.5767002,22628.86598
557,55.6791,12.5787001,21234.24051
558,55.6843987,12.4639997,14743.58974
559,55.6833,12.4785004,18966.66667
560,55.6837997,12.4849005,13833.33333
561,55.6831017,12.4869003,17085.19333
562,55.6837006,12.4890003,16717.10257
563,55.6829987,12.4911003,15294.61269
564,55.6836014,12.4932003,14759.03614
565,55.6825981,12.5036001,16713.90163
566,55.6824989,12.5078001,14369.26554
567,55.6822014,12.5160999,16056.70498
568,55.6828995,12.5183001,16660.28387
569,55.6827011,12.5225,18030.12365
570,55.6819992,12.5244999,19937.5
571,55.6825981,12.5267,18264.05397
572,55.6819,12.5286999,18869.21648
573,55.6818008,12.5328999,17241.30335
574,55.6823997,12.5349998,17591.28983
575,55.6815987,12.5369997,17706.18035
576,55.6823006,12.5391998,15829.69904
577,55.6814003,12.5453997,18285.71429
578,55.6813011,12.5495996,16967.04979
579,55.6819,12.5516996,17131.34382
580,55.6814995,12.5642996,20681.81818
581,55.6813011,12.5726004,17025.6728
582,55.6805992,12.5746002,20168.55258
583,55.6804008,12.5788002,12714.17971
584,55.6810989,12.5810003,16199.10626
585,55.6809006,12.5851002,21140.11392
586,55.6808014,12.5893002,19336.65008
587,55.6800995,12.5913,14046.75666
588,55.6857986,12.4640999,14877.76216
589,55.6846008,12.4827995,15944.44444
590,55.6851997,12.4849997,16320.15931
591,55.6843987,12.4870005,17450.58976
592,55.6851006,12.4891996,17287.48129
593,55.6842995,12.4912004,17105.32556
594,55.6848984,12.4933004,15624.09647
595,55.6845016,12.5101004,16386.12709
596,55.6837006,12.5121002,17928.0303
597,55.6841011,12.5226002,16510.52826
598,55.6833992,12.5246,19538.90004
599,55.6832008,12.5288,17208.83883
600,55.6831017,12.533,19407.78789
601,55.6837997,12.5351,18182.51043
602,55.6829987,12.5372,18061.90738
603,55.6836014,12.5393,18358.63687
604,55.6828995,12.5412998,17858.22049
605,55.6828003,12.5454998,16883.46203
606,55.6833992,12.5476999,16847.51905
607,55.6825981,12.5496998,18794.00864
608,55.6833,12.5517998,17800.02638
609,55.6824989,12.5538998,8467.741935
610,55.6831017,12.5559998,15585.7143
611,55.6823006,12.5621996,15358.54637
612,55.6828995,12.5643997,21377.17647
613,55.6819992,12.5705996,16923.3028
614,55.6827011,12.5726995,19450.86705
615,55.6819,12.5747995,22857.22284
616,55.6824989,12.5768995,21702.23693
617,55.6818008,12.5789003,21730.76923
618,55.6823997,12.5811005,20384.37199
619,55.6817017,12.5831003,19234.54656
620,55.6823006,12.5853004,13333.33333
621,55.6822014,12.5894003,20289.85507
622,55.6814003,12.5915003,21856.44977
623,55.6870995,12.4642,15685.71429
624,55.6864014,12.4661999,14714.72336
625,55.6859016,12.4829998,16028.16056
626,55.6857986,12.4870996,14984.68661
627,55.6864014,12.4892998,17653.06122
628,55.6856995,12.4912996,15851.75906
629,55.6860008,12.5059996,16989.89326
630,55.6851997,12.5080004,17687.07483
631,55.6851006,12.5122004,13492.06349
632,55.6856995,12.5143995,16415.09434
633,55.6850014,12.5164003,18432.44085
634,55.6856003,12.5185003,16634.5689
635,55.6848984,12.5206003,16188.81553
636,55.6847,12.5247002,20100.66049
637,55.6853981,12.5269003,20340.47426
638,55.6846008,12.5289001,20930.05833
639,55.6851997,12.5311003,19927.13003
640,55.6845016,12.5331001,13956.08308
641,55.6851006,12.5353003,17751.85884
642,55.6850014,12.5394001,20904.7619
643,55.6842003,12.5415001,15891.47287
644,55.6841011,12.5455999,18169.21463
645,55.6847,12.5478001,18008.37775
646,55.6839981,12.5497999,15650.60241
647,55.6846008,12.552,16700.50538
648,55.6838989,12.5539999,16779.53816
649,55.6842995,12.5644999,17220.92542
650,55.6834984,12.5664997,18081.04723
651,55.6841011,12.5686998,20534.71139
652,55.6833992,12.5706997,14802.5584
653,55.6833,12.5748997,20995.83416
654,55.6838989,12.5769997,18253.96825
655,55.6837997,12.5811996,21782.17822
656,55.6828003,12.5916004,19649.80545
657,55.6873016,12.4830999,15603.03312
658,55.6871986,12.4872999,17756.41026
659,55.6866989,12.5039997,16864.39058
660,55.6873016,12.5060997,15790.37024
661,55.6865997,12.5081997,19054.60916
662,55.6862984,12.5165005,13756.61376
663,55.6870003,12.5186996,17900.20263
664,55.6866989,12.5270004,18105.81014
665,55.6860008,12.5290003,19609.92683
666,55.6865997,12.5312004,18742.6382
667,55.6859016,12.5332003,18915.69277
668,55.6865005,12.5354004,17332.62247
669,55.6856995,12.5374002,15312.19444
670,55.6864014,12.5396004,16763.18277
671,55.6861,12.5479002,14927.21688
672,55.6853981,12.5499001,15587.85121
673,55.6860008,12.5521002,13499.15245
674,55.6851997,12.5541,18337.15094
675,55.6859016,12.5563002,14751.01473
676,55.6856995,12.5604,17826.69018
677,55.6856003,12.5646,19766.35514
678,55.6848984,12.5667,16461.02373
679,55.6855011,12.5688,18803.31229
680,55.6850014,12.5854998,20151.56824
681,55.6842995,12.5874996,16505.8928
682,55.6848984,12.5896997,18139.53488
683,55.6892014,12.4895,13342.06109
684,55.6880989,12.5040998,16624.97837
685,55.6887016,12.5061998,15923.07692
686,55.6885986,12.5103998,18767.91038
687,55.6873016,12.5291996,20796.5642
688,55.6879997,12.5312996,18773.16235
689,55.6871986,12.5333004,16557.97101
690,55.6878014,12.5354996,15801.81992
691,55.6870995,12.5375004,19447.33335
692,55.6876984,12.5396996,18377.27741
693,55.6870003,12.5417004,16131.30765
694,55.6875992,12.5438995,16548.52503
695,55.6875,12.5480003,19827.37487
696,55.6865997,12.5542002,16290.5478
697,55.6865005,12.5584002,19692.30769
698,55.6864014,12.5626001,16481.07582
699,55.6865005,12.5815001,19642.85714
700,55.6857986,12.5834999,19273.2486
701,55.6864014,12.5855999,17488.79155
702,55.6856003,12.5876999,15996.19166
703,55.6862984,12.5897999,18202.1304
704,55.6853981,12.5959997,22248.80383
